User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities,Daily_Usage_Time_in_Minutes
1,20,non-binary,bangalore,undergraduate,freelancer,hinge,hinge,monthly,1 hour,finding a partner,4,safety concerns,audio calls,video calls,values > personality > appearance,60
2,24,female,delhi,undergraduate,part-time job,hinge,okcupid,weekly,30 minutes,casual dating,5,time-wasting,video calls,text,values > personality > appearance,0
3,24,non-binary,kolkata,undergraduate,intern,okcupid,okcupid,weekly,2 hours,casual dating,4,safety concerns,detailed profiles,text,values > personality > appearance,120
4,22,non-binary,delhi,graduate,full-time job,okcupid,okcupid,daily,30 minutes,casual fun,3,safety concerns,ai recommendations,voice notes,personality > interests > values,0
5,18,male,delhi,graduate,intern,okcupid,okcupid,weekly,2 hours,casual fun,4,safety concerns,video calls,text,appearance > interests > personality,120
6,23,female,mumbai,undergraduate,student,okcupid,okcupid,daily,1.5 hours,casual dating,2,time-wasting,audio calls,video calls,values > personality > appearance,90
7,22,non-binary,chennai,postgraduate,part-time job,tinder,tinder,monthly,30 minutes,finding a partner,4,time-wasting,audio calls,text,personality > interests > values,0
8,21,female,pune,postgraduate,freelancer,hinge,tinder,weekly,1.5 hours,finding a partner,2,safety concerns,audio calls,video calls,values > personality > appearance,90
9,20,male,pune,postgraduate,part-time job,hinge,okcupid,daily,2 hours,finding a partner,1,lack of genuine matches,audio calls,text,values > personality > appearance,120
10,20,non-binary,chennai,undergraduate,intern,okcupid,bumble,weekly,3 hours,finding a partner,1,safety concerns,location-based matching,video calls,values > personality > appearance,180
11,18,female,hyderabad,postgraduate,full-time job,tinder,hinge,daily,1 hour,social interaction,1,time-wasting,location-based matching,voice notes,appearance > interests > personality,60
12,21,male,delhi,undergraduate,part-time job,hinge,hinge,monthly,3 hours,finding a partner,1,time-wasting,audio calls,voice notes,appearance > interests > personality,180
13,22,male,bangalore,undergraduate,student,hinge,okcupid,monthly,1 hour,casual dating,3,time-wasting,video calls,video calls,personality > interests > values,60
14,19,non-binary,bangalore,undergraduate,student,hinge,bumble,daily,2 hours,social interaction,1,lack of genuine matches,ai recommendations,voice notes,personality > interests > values,120
15,22,non-binary,chennai,graduate,intern,hinge,bumble,daily,1.5 hours,casual fun,1,lack of genuine matches,audio calls,voice notes,appearance > interests > personality,90
16,19,female,bangalore,undergraduate,freelancer,hinge,okcupid,daily,1.5 hours,casual dating,5,time-wasting,detailed profiles,text,appearance > interests > personality,90
17,22,non-binary,hyderabad,graduate,part-time job,bumble,tinder,monthly,1 hour,casual fun,3,lack of genuine matches,location-based matching,video calls,values > personality > appearance,60
18,19,non-binary,hyderabad,graduate,student,okcupid,okcupid,monthly,1 hour,finding a partner,3,safety concerns,detailed profiles,text,personality > interests > values,60
19,24,male,hyderabad,graduate,intern,hinge,hinge,daily,30 minutes,casual dating,2,lack of genuine matches,ai recommendations,video calls,personality > interests > values,0
20,22,non-binary,pune,undergraduate,student,hinge,hinge,weekly,1.5 hours,finding a partner,1,time-wasting,video calls,voice notes,appearance > interests > personality,90
21,22,male,mumbai,postgraduate,freelancer,hinge,bumble,weekly,3 hours,social interaction,1,safety concerns,ai recommendations,video calls,values > personality > appearance,180
22,25,non-binary,hyderabad,undergraduate,intern,hinge,bumble,weekly,3 hours,finding a partner,5,lack of genuine matches,ai recommendations,text,appearance > interests > personality,180
23,20,female,pune,graduate,full-time job,hinge,okcupid,daily,3 hours,finding a partner,4,safety concerns,audio calls,video calls,appearance > interests > personality,180
24,18,male,delhi,graduate,freelancer,tinder,bumble,weekly,2 hours,casual dating,5,time-wasting,detailed profiles,text,appearance > interests > personality,120
25,24,male,bangalore,postgraduate,full-time job,bumble,tinder,daily,2 hours,social interaction,3,time-wasting,location-based matching,text,values > personality > appearance,120
26,24,male,kolkata,graduate,full-time job,bumble,okcupid,weekly,3 hours,social interaction,2,lack of genuine matches,detailed profiles,voice notes,values > personality > appearance,180
27,21,female,delhi,undergraduate,student,bumble,tinder,weekly,3 hours,casual dating,5,lack of genuine matches,location-based matching,video calls,appearance > interests > personality,180
28,23,male,kolkata,undergraduate,part-time job,bumble,tinder,weekly,2 hours,casual fun,1,time-wasting,location-based matching,voice notes,appearance > interests > personality,120
29,19,female,chennai,undergraduate,student,okcupid,okcupid,weekly,3 hours,casual dating,4,lack of genuine matches,detailed profiles,video calls,appearance > interests > personality,180
30,18,male,mumbai,undergraduate,freelancer,tinder,tinder,daily,3 hours,finding a partner,4,time-wasting,location-based matching,voice notes,personality > interests > values,180
31,24,non-binary,bangalore,graduate,full-time job,hinge,okcupid,weekly,30 minutes,casual dating,5,time-wasting,audio calls,voice notes,personality > interests > values,0
32,20,male,bangalore,graduate,full-time job,hinge,okcupid,monthly,1 hour,finding a partner,3,time-wasting,detailed profiles,voice notes,values > personality > appearance,60
33,24,female,delhi,graduate,part-time job,bumble,okcupid,weekly,30 minutes,casual dating,3,time-wasting,detailed profiles,text,personality > interests > values,0
34,25,male,kolkata,graduate,full-time job,bumble,hinge,weekly,3 hours,finding a partner,5,time-wasting,location-based matching,voice notes,appearance > interests > personality,180
35,21,female,delhi,graduate,full-time job,bumble,okcupid,daily,2 hours,casual dating,3,safety concerns,audio calls,voice notes,values > personality > appearance,120
